Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
"13,90zł","Druk z roli A2, papier 80 g",420 × 594,"10,20zł",Drukowanie cz-b z roli A1 papier 80g/m2 WEKTOR [MB],594x841,,,,
"12,00zł","Druk z roli A3, papier 80 g",297 × 420,"8,50zł",Drukowanie cz-b z roli A2 papier 80g/m2 WEKTOR [MB],420x594,,,,
"30,00zł",Druk z roli 1067,rolka 1067,"8,50zł",Drukowanie cz-b z roli A3 papier 80g/m2 WEKTOR [MB],297x420,,,,
Dodatkowe informacje,,,"12,00zł",Drukowanie cz-b z roli 1067 papier 80g/m2 WEKTOR [MB],rolka 1067,,,,
Zmniejszanie / powiększanie pliku: +50%,,,Dodatkowe uwagi:,,,,,,
Ilości powyżej 30 m²: wycena indywidualna,,,Zmniejszanie/Powiększanie pliku + 50% do ceny,,,,,,
Zapełnienie powyżej 25%: +50% ceny podstawowej,,,Druk i kopie cz-b rysunków technicznych CAD - linie i cienkie teksty-WEKTOR,,,,,,
,,,Zapełnienie powyżej 25% doliczamy 50% ceny podstawowej,,,,,,
Plakaty - PAPIER 120 G (powlekany matowy),,,Składanie wielkoformatowe,,,,,,
1. FORMATOWE,,,Format,A0+,A0,A1,A2,A3,A3 formatowe
Cena,Opis (Format),Wymiary (mm) / Rolka,Cena,"3,00zł","2,50zł","2,00zł","1,50zł","1,00zł","0,50zł"
"63,00zł",Drukowanie plakat 1067 papier 120g,rolka 1067,Dodatkowe uwagi:,,,,,,
"65,00zł",Drukowanie kolor A0+/1067 papier 120g,914 x 1292,Składanie rysunków przyniesionych przez klienta 4 zł/szt,,,,,,
"54,00zł",Drukowanie kolor A0 papier 120g,841 x 1189,"Składanie rysunków NIEFORMATOWYCH - 2,5 zł/m2",,,,,,
"28,00zł",Drukowanie kolor A1+ papier 120g,610 x 841,"Doklejanie PASKÓW wzmacniających do rysunków - 0,80 zł",,,,,,
"18,00zł",Drukowanie kolor A2 papier 120g,420 x 594,Skanowanie wielkoformatowe,,,,,,
"12,00zł",Drukowanie kolor A3 papier 120g,297 x 420,Usługa,Cena,,,,,
2. NIEFORMATOWE [MB],,,Skaner płaski,"0,08 zł/cmb",,,,,
Cena,Opis (Format),Wymiary (mm) / Rolka,Dodatkowe uwagi:,,,,,,
"63,00zł",Drukowanie plakat 1067 papier 120g,rolka 1067,"Wysłanie E-MAIL dodatkowo płatne 1,00 zł",,,,,,
"50,00zł",Drukowanie plakat A0+/1067 papier 120g,914 x 1292,,,,,,,
"45,00zł",Drukowanie plakat A0 papier 120g,841 x 1189,,,,,,,
"33,00zł",Drukowanie plakat A1+ papier 120g,610 x 841,,,,,,,
"30,00zł",Drukowanie plakat A2 papier 120g,420 x 594,,,,,,,
"28,00zł",Drukowanie plakat A3 papier 120g,297 x 420,,,,,,,
RABATY ILOŚCIOWE:,,,,,,,,,
od 2 do 5 szt. – cena - 5%,,,,,,,,,
od 6 do 20 szt. – cena - 8%,,,,,,,,,
od 20 do 30 szt. – cena - 13%,,,,,,,,,
większe ilości – wycena indywidualna,,,,,,,,,
Fotoplakaty - SATYNA 260g A3-A0+,,,,,,,,,
1. FORMATOWE,,,,,,,,,
Cena,Opis (Format),Wymiary (mm),,,,,,,
"88,00zł",Drukowanie kolor A0+ papier PHOTO 260g/m2,914 x 1292,,,,,,,
"80,00zł",Drukowanie kolor A0 papier PHOTO 260g/m2,841 x 1189,,,,,,,
"50,00zł",Drukowanie kolor A1 papier PHOTO 260g/m2,594 x 841,,,,,,,
"30,00zł",Drukowanie kolor A2 papier PHOTO 260g/m2,420 x 594,,,,,,,
"23,00zł",Drukowanie kolor A3 papier PHOTO 260g/m2,297 x 420,,,,,,,
2. NIEFORMATOWE [MB],,,,,,,,,
Cena,Opis (Format),Wymiary (mm),,,,,,,
"73,30zł",Drukowanie kolor A0+ papier PHOTO 260g/m2,914 x 1292,,,,,,,
"66,70zł",Drukowanie kolor A0 papier PHOTO 260g/m2,841 x 1189,,,,,,,
"59,50zł",Drukowanie kolor A1 papier PHOTO 260g/m2,594 x 841,,,,,,,
"50,00zł",Drukowanie kolor A2 papier PHOTO 260g/m2,420 x 594,,,,,,,
"47,60zł",Drukowanie kolor A3 papier PHOTO 260g/m2,297 x 420,,,,,,,
RABATY ILOŚCIOWE:,,,,,,,,,
od 9 do 20 szt. – cena - 7%,,,,,,,,,
od 20 do 30 szt. – cena - 12%,,,,,,,,,
Plakaty - POLIPROPYLEN 180g A3-A0+,,,,,,,,,
1. FORMATOWE,,,,,,,,,
Cena,Opis (Format),Wymiary (mm),,,,,,,
"90,00zł",Drukowanie kolor A0+/A0++ papier 180g/m2 PP,914 x 1292,,,,,,,
